peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
45.51,1.59,M,39,40,0,0,8,0,0,N,2,3,3
95.44,1.83,V,71,0,0,0,17,6,0,N,1,2,3
73.33,1.63,M,55,0,0,1,21,8,0,N,1,2,2
68.95,1.61,M,52,0,0,0,0,0,0,N,0,1,0
73.45,1.57,M,32,0,4,0,22,12,0,N,1,2,0
83.67,1.67,M,68,0,0,2,7,4,0,N,3,4,4
85.75,1.75,V,55,0,2,3,0,2,3,S,0,2,3
73.96,1.64,M,18,0,0,0,8,5,0,N,1,2,2
82.13,1.68,V,37,0,0,2,12,9,0,N,3,4,4
46.08,1.6,M,38,70,0,0,2,0,2,N,3,4,4
42.69,1.54,M,49,40,24,7,10,13,0,N,1,3,2
84.28,1.78,V,25,0,7,0,0,1,0,N,1,3,4
76.3,1.74,V,20,0,4,1,8,0,3,N,3,4,4
45.51,1.59,M,43,20,4,4,4,0,0,N,0,0,0
97.9,1.78,V,52,0,7,3,0,6,0,N,1,4,4
70.15,1.58,M,42,0,0,3,14,9,1,S,2,3,3
48.41,1.64,M,59,70,3,2,4,0,2,N,1,0,0
94.87,1.73,V,39,0,8,0,4,1,0,N,4,4,3
73.98,1.7,V,32,0,0,0,5,0,5,N,0,0,0
53.87,1.73,M,31,100,0,2,12,8,0,N,1,3,2
90.22,1.74,V,68,0,6,0,0,1,0,N,1,4,3
66.19,1.56,M,46,0,0,0,0,0,0,N,0,2,4
87.59,1.75,V,57,0,0,1,8,0,0,N,2,4,4
47.82,1.63,M,35,20,0,0,10,1,0,S,0,2,3
85.76,1.65,M,46,0,11,3,10,11,0,N,0,0,0
53.87,1.73,V,44,150,17,1,10,3,0,N,4,4,2
94.87,1.73,M,65,0,20,1,21,11,0,N,3,3,2
80.42,1.64,M,47,0,5,2,11,7,0,N,1,2,2
80.57,1.62,M,19,0,4,0,3,6,0,S,1,1,1
76.3,1.7,M,40,0,3,0,11,0,0,N,1,4,4
57.67,1.79,V,34,60,0,0,0,1,0,N,2,3,2
99.84,1.75,V,49,0,0,0,6,9,0,S,3,4,4
56.39,1.77,M,56,30,30,1,12,3,0,N,1,1,0
51.41,1.69,V,38,70,0,1,14,0,0,N,3,4,4
91.79,1.77,V,59,0,15,4,0,0,0,N,0,1,1
75.19,1.63,M,41,0,0,0,0,1,0,N,1,2,2
78.95,1.65,M,33,0,0,0,0,3,0,N,0,2,0
91.04,1.8,V,27,0,0,0,10,6,0,N,2,4,3
46.66,1.61,M,32,20,9,4,0,0,2,N,1,3,4
55.12,1.75,V,36,70,0,1,6,0,0,N,1,2,1
54.5,1.74,V,31,10,0,0,0,0,0,N,1,1,2
58.32,1.8,V,32,100,0,2,12,6,0,N,3,4,3
53.87,1.73,M,18,40,5,3,16,13,0,N,1,1,0
81.11,1.73,M,18,0,3,7,0,1,0,N,3,4,4
50.8,1.68,V,57,30,0,4,2,14,0,N,0,0,1
108.29,1.86,V,46,0,0,2,0,6,0,N,2,2,1
102.38,1.8,V,43,0,18,0,2,0,0,N,3,2,0
87.66,1.65,M,45,0,5,0,0,8,0,N,0,0,1
85.44,1.75,V,25,0,0,3,0,2,0,N,2,2,2
87.49,1.68,V,58,0,0,1,0,0,0,N,3,3,2
90.85,1.77,V,46,0,8,1,19,12,0,N,1,2,0
76.54,1.69,V,18,0,0,6,0,5,0,N,2,4,3
54.5,1.74,V,24,50,0,2,0,6,0,S,0,0,0
81.32,1.8,V,31,0,0,0,2,0,NA,N,1,2,4
67.69,1.52,M,33,0,11,5,0,4,4,N,2,3,2
84.87,1.76,V,36,0,0,2,6,6,0,N,1,2,3
78.99,1.76,V,42,0,6,1,16,3,0,N,3,4,2
91.52,1.71,V,40,0,9,1,8,7,0,S,1,2,1
79.31,1.68,V,55,0,0,0,16,8,0,N,0,1,3
55.12,1.75,V,34,50,4,2,14,12,NA,N,3,4,3
90.07,1.8,V,18,0,0,5,2,0,0,N,3,3,3
93.31,1.8,V,18,0,0,0,0,0,1,N,2,2,1
53.87,1.73,V,53,120,0,1,0,2,0,N,0,0,0
85.55,1.78,V,32,0,0,0,4,0,0,N,1,1,1
74.85,1.72,V,18,0,1,0,10,5,0,N,0,2,3
95.14,1.84,V,33,0,0,2,0,0,0,N,3,3,3
74.68,1.66,M,48,0,0,7,0,0,0,N,0,0,1
86.25,1.66,M,39,0,2,0,4,14,0,N,2,4,4
90.09,1.73,V,33,0,0,2,7,12,0,N,2,3,1
55.12,1.75,V,47,100,0,2,11,11,0,N,1,2,2
73.85,1.66,M,18,0,0,2,12,8,0,N,2,3,4
99.53,1.75,V,64,0,7,0,0,4,0,N,1,1,1
86.06,1.75,V,41,0,0,1,0,0,0,N,1,2,2
66.8,1.57,M,71,0,0,7,0,0,0,N,0,0,0
81.01,1.66,M,36,0,0,0,0,2,1,N,1,2,1
90.22,1.74,V,51,0,10,0,1,2,0,N,0,1,1
75.4,1.69,M,57,0,0,0,16,0,5,N,3,4,4
75.86,1.67,M,27,0,0,2,1,0,0,N,0,1,0
83.59,1.8,V,52,0,0,4,15,6,0,N,0,2,3
97.27,1.78,V,30,0,22,0,24,17,0,N,1,2,2
78.18,1.68,V,53,0,0,3,2,0,0,N,2,4,3
54.5,1.74,V,45,30,0,4,0,3,0,N,0,2,2
85.09,1.71,M,39,0,10,4,16,8,0,N,2,3,3
54.5,1.74,M,66,40,0,1,10,2,0,N,0,0,1
89.34,1.72,V,41,0,0,0,0,0,0,S,1,2,1
96.23,1.8,V,23,0,0,0,3,8,1,N,1,1,1
93.36,1.77,V,47,0,0,6,0,2,0,N,3,4,2
76.77,1.65,M,26,0,1,0,0,3,0,N,0,1,1
56.39,1.77,V,30,90,0,1,20,4,1,N,2,4,4
87.57,1.72,V,56,0,4,0,0,8,3,N,1,2,2
78.21,1.62,M,33,0,14,0,12,4,0,N,1,1,1
80.74,1.66,V,52,0,4,4,2,1,0,N,1,2,1
90.39,1.73,M,38,0,0,0,18,11,0,N,2,2,2
72.25,1.7,V,18,0,0,4,2,1,2,N,1,2,1
99.31,1.77,V,42,0,0,3,0,12,0,N,1,3,3
70.47,1.64,M,28,0,0,2,20,9,0,N,2,4,3
71.28,1.61,M,32,0,0,0,15,14,0,S,0,1,0
85.21,1.77,V,25,0,0,0,0,0,0,N,1,4,4
57.67,1.79,V,55,50,8,2,0,0,6,N,3,4,4
93.41,1.82,V,18,0,13,4,0,0,1,N,1,0,0
60.94,1.84,V,32,50,13,1,0,0,0,N,2,4,4
67.4,1.58,M,50,0,4,0,0,1,2,N,1,2,1
52.02,1.7,V,61,60,0,1,0,0,0,N,2,3,3
110.03,1.84,V,31,0,5,3,10,12,0,N,3,4,3
66.49,1.59,M,18,0,0,0,5,0,0,N,0,0,0
44.94,1.58,M,34,80,6,1,7,2,0,N,0,2,1
84.56,1.76,V,37,0,1,1,19,8,0,N,3,4,4
48.41,1.64,V,32,80,0,1,12,8,0,N,0,2,2
84.56,1.76,V,56,0,0,2,0,0,0,N,3,3,3
55.27,1.71,M,19,10,0,3,6,12,0,N,0,1,0
52.02,1.7,V,40,30,3,6,0,0,0,N,2,1,3
90.68,1.79,V,40,0,0,3,4,1,0,N,1,0,0
86.46,1.67,M,64,0,0,1,16,8,0,N,1,2,2
69.02,1.57,M,73,0,0,2,6,3,0,N,1,3,3
92.25,1.69,V,41,0,0,0,14,18,0,N,0,0,0
96.88,1.74,V,88,0,0,0,8,7,0,N,0,0,0
94.84,1.79,V,28,0,0,0,0,0,0,N,3,3,3
90.68,1.73,M,81,0,10,7,4,5,0,S,2,4,4
55.76,1.76,V,56,20,0,2,4,0,0,N,1,1,0
86.12,1.7,M,51,0,5,5,0,4,0,N,1,2,2
81.65,1.72,V,29,0,5,0,19,14,2,N,0,0,0
54.5,1.74,V,24,70,0,0,22,11,4,N,0,0,0
46.08,1.6,M,44,130,9,4,21,13,0,N,1,3,2
71.83,1.73,V,51,0,0,8,12,0,0,N,1,1,0
85.14,1.75,V,39,0,10,0,3,0,0,N,2,4,4
50.2,1.67,M,36,100,6,5,9,0,0,N,1,1,0
96.49,1.77,V,70,0,9,2,3,0,0,N,2,2,2
60.28,1.83,V,51,190,10,0,23,15,2,S,4,4,4
88.6,1.71,M,30,0,0,0,7,9,0,N,1,2,2
76.25,1.63,M,69,0,0,1,0,0,0,N,1,1,1
81.11,1.73,V,33,0,2,0,0,4,5,N,0,1,1
76.3,1.7,V,51,0,0,2,28,13,1,N,1,1,3
56.39,1.77,V,32,100,1,0,18,0,9,N,0,1,2
53.25,1.72,V,19,80,0,0,3,0,0,N,0,1,4
78.4,1.75,V,42,0,9,3,0,0,6,N,0,0,0
83.65,1.78,V,33,0,5,1,4,0,0,N,0,1,2
60.3,1.5,M,18,0,0,0,6,1,0,N,2,3,3
75.41,1.65,M,48,0,3,1,5,0,0,N,0,1,1
93.55,1.76,V,26,0,0,0,2,2,0,N,3,3,4
57.67,1.79,V,50,140,14,0,0,0,4,N,0,1,1
90.45,1.76,V,42,0,3,0,12,0,0,N,2,3,2
73.21,1.57,M,18,0,0,0,8,2,0,N,4,4,3
93.64,1.7,V,64,0,11,1,0,5,0,N,2,3,3
86.97,1.75,V,53,0,0,7,0,4,0,N,2,3,3
56.39,1.77,V,43,40,6,0,10,2,0,N,1,1,1
75.78,1.66,M,52,0,10,7,4,0,2,N,1,3,2
74.83,1.59,M,45,0,10,1,1,1,0,N,2,3,3
81.4,1.69,M,18,0,10,0,13,6,0,N,1,1,0
79.59,1.53,M,42,0,8,2,9,20,0,N,1,2,2
81.57,1.66,M,72,0,8,0,0,0,0,N,1,2,1
92.62,1.76,V,37,0,22,0,2,0,0,N,2,2,3
87.89,1.75,V,45,0,0,1,7,3,1,N,3,3,3
84.24,1.8,V,42,0,19,4,19,4,0,N,0,1,1
93.36,1.77,V,30,0,0,0,0,0,0,S,0,0,0
85.53,1.77,V,30,0,0,2,14,6,0,N,2,2,3
83.52,1.7,M,27,0,0,5,0,3,0,N,2,2,2
97.68,1.69,M,55,0,1,0,2,10,0,N,1,2,3
86.25,1.69,M,42,0,23,2,0,0,0,N,0,1,3
89.38,1.84,V,40,0,0,11,8,7,0,N,1,2,2
102.87,1.81,V,39,0,4,1,11,14,0,N,1,3,2
49.6,1.66,M,57,20,0,0,14,4,0,N,0,1,1
74.74,1.67,M,52,0,2,3,0,0,0,N,1,3,4
89.59,1.7,V,67,0,0,2,3,5,0,N,3,3,2
52.63,1.71,M,18,180,3,0,1,0,0,N,0,0,2
80.54,1.69,M,49,0,0,4,0,0,0,N,0,1,2
67.75,1.59,M,34,0,11,4,16,5,1,N,1,1,1
77.9,1.68,V,34,0,0,3,0,0,0,N,0,0,0
70.6,1.62,M,44,0,0,4,0,2,0,N,0,1,3
74.87,1.65,M,25,0,0,2,0,0,0,N,2,4,4
83.22,1.66,M,53,0,1,4,4,7,0,N,3,4,2
60.94,1.84,V,44,40,19,0,7,3,0,N,1,3,3
60.28,1.83,V,33,110,0,0,0,0,0,N,0,0,1
85.49,1.65,M,33,0,0,0,3,8,0,N,1,2,4
89.95,1.61,M,39,0,10,2,0,11,0,N,1,1,3
71.69,1.68,M,41,0,0,3,18,4,0,N,1,2,3
73.69,1.71,M,38,0,0,2,8,3,0,N,1,4,4
48.41,1.64,M,63,40,0,2,0,10,0,N,1,2,4
72.52,1.56,M,20,0,8,0,5,5,0,N,1,2,0
84.97,1.7,V,44,0,7,0,9,5,0,N,1,3,2
79.91,1.66,M,53,0,2,5,0,0,0,N,1,2,1
80.74,1.66,V,52,0,10,0,7,8,0,N,0,0,1
73.48,1.62,M,60,0,6,5,0,0,3,N,2,2,3
44.94,1.58,M,57,20,12,4,6,0,0,N,1,3,4
102.06,1.8,V,65,0,3,3,0,0,0,N,2,4,4
76.54,1.6,M,32,0,3,0,5,5,0,N,2,2,2
84.68,1.7,V,34,0,1,7,0,7,0,N,1,2,2
52.02,1.7,M,49,50,1,0,7,0,0,N,0,0,1
52.63,1.71,V,22,10,7,2,0,0,0,N,0,0,1
53.25,1.72,M,47,60,0,4,5,2,0,N,2,3,3
77.43,1.66,M,44,0,0,0,0,4,0,N,1,3,4
60.62,1.62,M,45,0,0,0,19,0,0,N,2,4,4
92.64,1.74,M,18,0,7,2,0,3,0,N,3,3,4
73.38,1.68,M,43,0,3,3,0,0,0,N,1,1,3
87.76,1.78,V,24,0,3,0,14,1,0,N,2,4,3
81.7,1.79,V,27,0,0,6,0,0,3,S,1,0,0
95.41,1.76,V,35,0,11,1,0,0,0,N,2,3,3
54.5,1.74,V,54,20,0,0,0,0,0,N,0,1,1
67.27,1.55,M,23,0,6,2,9,3,0,N,3,4,4
90.85,1.77,V,61,0,0,2,0,0,0,N,2,2,1
92.49,1.75,V,59,0,0,2,0,1,0,N,2,4,3
97.17,1.84,V,60,0,12,4,0,0,0,N,0,2,2
93.86,1.76,V,55,0,5,0,9,5,0,N,0,0,0
57.67,1.79,V,37,10,5,0,22,12,0,N,2,2,3
47.82,1.63,M,56,40,14,2,2,0,0,N,1,2,2
59.62,1.82,V,26,20,1,4,0,0,NA,N,1,3,4
103.03,1.8,V,25,0,0,0,15,19,0,N,0,0,0
90.46,1.7,V,18,0,19,1,0,1,0,N,1,1,2
64.82,1.64,M,18,0,0,0,5,0,0,N,1,3,4
49,1.65,M,83,20,2,0,0,0,0,N,1,2,2
85.11,1.69,M,61,0,0,3,0,6,0,N,1,2,1
47.24,1.62,M,42,20,0,2,20,8,0,N,1,2,1
85.86,1.78,V,63,0,6,0,0,0,0,N,1,4,4
65.69,1.54,M,18,0,3,1,13,7,0,N,2,3,3
79.48,1.67,V,44,0,2,2,0,0,0,N,2,1,0
81.47,1.76,V,48,0,0,6,8,6,0,N,0,0,0
99.65,1.79,M,55,0,14,7,0,5,0,N,0,1,1
81.97,1.69,V,54,0,0,6,0,0,0,N,2,4,4
55.76,1.76,M,46,30,0,7,0,8,0,N,1,2,1
73.24,1.65,M,24,0,26,5,14,0,0,N,2,3,4
79.69,1.69,V,18,0,0,3,0,4,0,N,1,2,2
80.74,1.66,M,51,0,0,0,3,0,2,S,3,3,4
94.8,1.84,V,71,0,6,3,0,0,0,N,0,0,0
98.4,1.74,V,28,0,17,2,6,6,0,N,1,1,1
47.82,1.63,M,24,20,0,5,0,1,0,N,1,2,3
51.41,1.69,V,27,180,1,2,0,3,6,N,0,2,2
93.56,1.79,V,44,0,0,3,19,12,0,N,1,2,2
72.2,1.66,M,22,0,0,2,3,3,0,N,1,2,1
55.12,1.75,M,49,40,7,2,0,5,0,N,1,2,3
50.2,1.67,V,18,50,0,4,0,8,0,N,0,1,0
72.75,1.66,V,38,0,0,2,14,9,5,N,2,3,4
49.6,1.66,M,23,50,0,3,18,11,0,N,2,2,1
97.79,1.74,V,35,0,2,0,15,14,0,N,1,2,1
70.4,1.6,M,23,0,8,6,3,0,0,N,2,4,4
55.12,1.75,V,48,30,1,1,0,0,0,N,1,1,0
75.31,1.64,M,31,0,0,0,8,4,0,N,1,0,1
95.33,1.81,V,38,0,0,0,0,4,0,N,1,2,2
77.36,1.83,V,31,0,4,3,24,0,0,N,2,4,4
86.98,1.72,V,23,0,12,0,14,4,0,N,1,3,3
69.99,1.61,M,44,0,0,1,17,7,3,N,3,3,3
52.63,1.71,V,51,60,0,2,0,1,0,N,2,3,4
50.2,1.67,M,47,70,0,6,7,2,0,N,1,1,2
101.82,1.77,V,71,0,3,0,7,10,0,N,2,1,0
109.32,1.86,V,40,0,18,4,13,12,0,N,1,1,1
75.97,1.69,M,29,0,0,5,0,0,0,N,1,2,1
102.45,1.77,V,18,0,5,0,12,16,0,N,2,2,1
57.03,1.78,M,52,100,0,4,3,2,0,N,2,4,3
49,1.65,M,61,20,0,5,0,5,0,N,0,0,1
82.83,1.69,M,42,0,0,0,0,7,0,N,1,2,2
102.22,1.76,V,36,0,0,0,0,12,0,N,1,1,1
57.67,1.79,V,36,30,0,0,4,4,0,N,1,0,1
79.61,1.73,V,38,0,0,0,15,6,0,N,1,4,4
80.51,1.73,V,34,0,0,5,5,0,0,N,2,3,3
96.24,1.7,M,46,0,7,0,15,16,0,N,2,2,1
84.95,1.68,M,51,0,6,0,14,3,0,N,1,3,1
81.13,1.65,M,42,0,0,0,0,0,0,N,2,2,1
81.16,1.76,V,39,0,0,2,0,0,0,N,0,3,3
96.97,1.81,V,37,0,9,1,0,0,0,N,1,3,1
84.83,1.75,V,35,0,1,1,0,0,0,N,1,3,2
79.36,1.66,M,51,0,0,0,0,0,0,N,2,3,4
92.11,1.77,V,38,0,0,3,11,13,0,N,1,2,2
51.41,1.69,M,37,20,23,2,18,2,0,N,1,1,2
47.82,1.63,M,18,10,0,2,2,0,0,N,1,1,3
93.15,1.78,V,33,0,9,0,4,4,1,N,1,1,1
82.67,1.79,V,43,0,4,1,0,0,0,N,1,4,3
58.32,1.8,V,45,60,0,0,21,10,4,N,2,4,4
96.64,1.78,V,18,0,0,3,0,8,0,N,1,2,2
85.3,1.73,V,21,0,3,5,11,8,0,N,1,1,1
49,1.65,M,49,100,0,4,9,1,0,N,2,4,4
81.91,1.61,M,54,0,0,0,3,13,0,N,1,0,1
73.38,1.68,M,62,0,0,0,10,0,2,N,0,0,0
93.56,1.79,V,53,0,4,0,6,0,0,N,3,4,4
83.95,1.67,V,43,0,18,1,8,1,0,N,2,1,2
53.87,1.73,M,26,120,2,2,7,5,0,N,2,4,4
87.14,1.81,V,77,0,0,5,13,7,0,N,0,2,1
57.03,1.78,V,48,20,8,3,17,8,0,N,1,3,4
69.78,1.59,M,45,0,0,0,0,0,6,N,1,0,0
89.03,1.78,V,23,0,0,0,16,11,0,N,2,4,3
92.62,1.76,V,50,0,0,0,0,8,0,N,1,2,4
84.02,1.72,V,57,0,0,0,0,0,0,N,1,2,2
44.94,1.58,M,54,70,8,2,0,1,1,N,0,1,0
78.83,1.69,V,60,0,0,6,3,0,0,S,1,2,1
79.36,1.66,M,43,0,3,1,4,1,0,N,1,1,0
75.43,1.7,M,43,0,0,1,9,0,0,N,0,1,2
75.46,1.63,M,47,0,0,0,9,3,0,N,3,4,4
74.23,1.68,M,18,0,0,0,12,6,3,N,3,4,4
81.46,1.75,V,38,0,8,0,5,0,NA,N,2,3,4
87.8,1.74,V,61,0,9,0,19,8,0,N,1,2,2
74.86,1.71,M,18,0,0,4,1,0,0,N,1,2,1
49,1.65,M,53,180,0,0,18,9,0,N,0,1,1
78.81,1.66,M,26,0,0,6,11,11,0,N,1,4,3
75.84,1.59,M,32,0,4,1,10,12,0,N,1,3,2
77.16,1.66,M,54,0,5,5,0,2,1,N,1,0,1
72.96,1.6,M,76,0,4,7,8,5,0,N,0,0,0
99.14,1.8,V,51,0,0,5,15,10,NA,N,3,4,4
45.51,1.59,M,31,50,0,2,17,2,NA,N,2,4,3
53.25,1.72,V,45,70,12,4,13,11,0,N,2,3,3
93.68,1.73,M,30,0,21,1,10,3,0,N,3,3,4
48.41,1.64,V,35,160,0,1,3,0,0,N,2,2,4
82.94,1.7,V,25,0,0,0,0,2,0,N,1,2,2
83.63,1.71,M,36,0,0,0,0,3,1,N,0,2,2
80.54,1.75,V,38,0,1,1,25,10,0,N,1,1,2
99.2,1.84,V,56,0,4,1,8,5,0,N,2,4,4
76.97,1.67,V,50,0,0,3,5,0,0,N,3,4,3
53.25,1.72,V,57,60,11,4,10,0,0,N,1,1,2
90.04,1.75,M,70,0,0,2,0,2,0,N,1,2,2
74.8,1.62,M,43,0,0,3,0,1,0,N,2,4,4
86.51,1.8,V,40,0,0,3,0,0,0,N,1,3,4
83.11,1.67,M,31,0,14,2,0,0,0,N,2,3,2
82.76,1.65,M,74,0,0,0,0,1,0,N,2,2,2
76.41,1.57,M,42,0,3,0,0,4,0,N,2,2,4
73.48,1.62,M,33,0,0,2,0,1,0,N,2,2,2
60.28,1.83,V,18,160,0,2,0,6,2,N,0,0,1
46.08,1.6,M,43,20,1,4,0,2,0,N,0,2,1
52.02,1.7,V,57,20,4,0,30,13,0,N,2,1,2
76.64,1.58,M,41,0,2,1,0,0,0,N,3,2,1
57.67,1.79,V,37,60,1,1,6,13,0,N,0,0,0
73.87,1.61,M,49,0,2,6,0,0,0,N,2,1,2
66.4,1.58,M,59,0,0,3,2,0,0,N,0,1,0
82.46,1.71,M,32,0,14,2,2,2,0,N,0,0,1
86.2,1.73,V,18,0,0,1,6,10,0,N,0,2,2
52.63,1.71,M,21,20,20,1,0,4,1,N,1,2,3
101.69,1.82,V,27,0,0,0,5,12,0,N,3,4,4
76.11,1.62,M,43,0,6,4,1,2,0,N,1,1,0
81.13,1.65,V,63,0,0,1,0,0,0,N,1,2,4
75.46,1.63,M,29,0,0,0,1,2,0,N,0,0,0
89.62,1.74,V,18,0,10,0,19,13,0,S,1,1,2
81.95,1.65,M,64,0,0,0,0,0,0,N,0,1,2
84.21,1.71,V,18,0,12,1,1,0,0,N,2,3,3
78.95,1.71,V,27,0,4,2,6,2,1,N,0,2,3
94.37,1.72,V,46,0,11,0,18,11,0,N,4,4,3
77.32,1.65,M,34,0,0,0,14,9,0,N,1,1,1
